Frequency (Hz)	Z' (Ω)	-Z'' (Ω)
100000	65.1981591039306	1.23515928853323
79433	65.5431579126883	1.39065388907348
63096	65.8335699946563	1.60722907194856
50119	65.9144003055795	1.73013901431659
39811	66.0688395430005	1.94420907730711
31623	66.3845880445417	2.14325752742132
25119	66.6681269606385	2.38586252714267
19953	67.1203555016526	2.60302981606747
15849	67.6343335734875	2.79053752055944
12589	68.1870406929719	2.9564843032854
10000	68.77841306591	2.9884189758519
7943.3	69.3452006872512	3.01395515899999
6309.6	69.8942401893954	2.91188250879348
5011.9	70.3923712606619	2.84100462125168
3981.1	70.9334920314548	2.67805131812233
3162.3	71.3406426623178	2.42668239630306
2511.9	71.7467428887835	2.20186160029338
1995.3	72.0497287137806	1.94850740389719
1584.9	72.3828354992399	1.72988837370729
1258.9	72.6435990126096	1.52264566215942
1000	72.8246590219085	1.29124512547596
794.33	73.0250113196885	1.07317354181978
630.96	73.1092307797212	0.842235529918541
501.19	73.2532732820189	0.63053904168272
398.11	73.3218454469465	0.462302884940527
316.23	73.3432798836364	0.294599018747372
251.19	73.2736321526568	0.138731356219852
199.53	73.3605590579143	-0.100333238526156
158.49	73.3608973460358	-0.23489465368012
125.89	73.3118133735822	-0.417072416398652
100	73.3017390431762	-0.661852523670923
79.433	73.2176624705801	-0.871222152965225
63.096	73.119932294238	-1.29594039079362
50.119	73.1782390827448	-0.597740778010307
39.811	73.1579279664487	-1.61952294053789
31.623	72.9013348912297	-2.08663407844866
25.119	72.5281940200241	-2.5149792080624
19.953	71.9342780823611	-2.98365872987613
15.849	70.56588264984	-3.4656979545481
12.589	69.765155267896	-3.43163935568618
10	69.1176434869776	-3.64354144868596
7.9433	68.4951703933199	-3.27263947884298
6.3096	67.1679179577048	-3.2035340036499
5.0119	67.3405440143059	-3.4927761191651
3.9811	66.3869785637718	-3.47828541118282
3.1623	65.5163150232729	-1.90409408182874
2.5119	63.9084893779855	-1.89909653960983
1.9953	62.7069380411753	-1.39119503874201
1.5849	63.920604986858	-0.639265757155477
1.2589	62.523805823786	0.31081747908822
1	62.673197808895	-3.76081133771204
